Item,Year,area_harvested_ha,production_tonnes,yield_kg_ha,avg_temp_c,avg_rain_mm
Bananas,2020,476070.0,5583830.0,11729.0,27.92,1251.8
Bananas,2021,525177.0,7388610.0,14068.8,28.01,1049.9
Bananas,2022,540537.0,8015978.46,14829.7,28.17,1131.6
Bananas,2023,566568.0,7308103.18,12898.9,28.05,1289.4
Carrots and turnips,1961,20000.0,150000.0,7500.0,26.67,1107.1
Carrots and turnips,1962,20000.0,150000.0,7500.0,26.46,1217.7
Carrots and turnips,1963,20000.0,150000.0,7500.0,26.54,1040.0
Carrots and turnips,1964,20000.0,150000.0,7500.0,26.7,1230.3
Carrots and turnips,1965,20000.0,150000.0,7500.0,26.55,1190.5
Carrots and turnips,1966,20000.0,150000.0,7500.0,26.44,1070.6
Carrots and turnips,1967,20000.0,150000.0,7500.0,26.72,1210.4
Carrots and turnips,1968,20000.0,150000.0,7500.0,26.8,1059.3
Carrots and turnips,1969,20000.0,150000.0,7500.0,26.6,1192.2
Carrots and turnips,1970,20000.0,150000.0,7500.0,26.88,1260.3
Carrots and turnips,1971,20000.0,150000.0,7500.0,26.78,1260.3
Carrots and turnips,1972,20000.0,150000.0,7500.0,26.86,1075.2
Carrots and turnips,1973,20000.0,150000.0,7500.0,26.68,1008.8
Carrots and turnips,1974,20000.0,150000.0,7500.0,26.82,1094.8
Carrots and turnips,1975,20000.0,150000.0,7500.0,26.86,1166.0
Carrots and turnips,1976,20000.0,150000.0,7500.0,26.68,1231.6
Carrots and turnips,1977,20000.0,150000.0,7500.0,26.96,1008.5
Carrots and turnips,1978,20000.0,150000.0,7500.0,26.99,1006.3
Carrots and turnips,1979,20000.0,150000.0,7500.0,26.87,1174.5
Carrots and turnips,1980,20000.0,150000.0,7500.0,26.93,1281.3
Carrots and turnips,1981,20000.0,150000.0,7500.0,26.89,1066.1
Carrots and turnips,1982,20000.0,150000.0,7500.0,26.85,1012.4
Carrots and turnips,1983,20000.0,150000.0,7500.0,27.17,1283.4
Carrots and turnips,1984,20000.0,150000.0,7500.0,27.06,1230.6
Carrots and turnips,1985,20000.0,150000.0,7500.0,27.19,1216.0
Carrots and turnips,1986,20000.0,150000.0,7500.0,27.3,1173.7
Carrots and turnips,1987,20000.0,150000.0,7500.0,27.2,1266.7
Carrots and turnips,1988,20000.0,150000.0,7500.0,27.25,1297.6
Carrots and turnips,1989,21000.0,166000.0,7904.8,27.13,1295.9
Carrots and turnips,1990,22000.0,173000.0,7863.6,27.14,1120.2
Carrots and turnips,1991,22303.0,175000.0,7846.4,27.08,1227.2
Carrots and turnips,1992,21228.0,166662.16,7851.1,27.23,1239.5
Carrots and turnips,1993,18000.0,139000.0,7722.2,27.46,1002.0
Carrots and turnips,1994,24000.0,193000.0,8041.7,27.32,1266.4
Carrots and turnips,1995,24285.0,198000.0,8153.1,27.46,1118.0
Carrots and turnips,1996,24551.0,203000.0,8268.5,27.25,1025.4
Carrots and turnips,1997,25000.0,210000.0,8400.0,27.44,1167.7
Carrots and turnips,1998,26000.0,225000.0,8653.8,27.35,1239.0
Carrots and turnips,1999,27000.0,231000.0,8555.6,27.42,1069.5
Carrots and turnips,2000,26492.0,225439.77,8509.7,27.39,1084.2
Carrots and turnips,2001,26729.0,227745.37,8520.4,27.62,1176.1
Carrots and turnips,2002,27500.0,235000.0,8545.5,27.68,1273.3
Carrots and turnips,2003,27159.0,232121.33,8546.7,27.54,1123.4
Carrots and turnips,2004,27339.0,234007.93,8559.6,27.49,1128.7
Carrots and turnips,2005,27750.0,237500.0,8558.6,27.71,1165.0
Carrots and turnips,2006,28000.0,240000.0,8571.4,27.61,1241.6
Carrots and turnips,2007,28500.0,243000.0,8526.3,27.68,1253.3
Carrots and turnips,2008,27831.0,240000.0,8623.4,27.71,1205.1
Carrots and turnips,2009,26621.0,231642.14,8701.5,27.82,1122.1
Carrots and turnips,2010,25300.0,219910.87,8692.1,27.67,1228.7
Carrots and turnips,2011,25000.0,217847.71,8713.9,27.75,1159.5
Carrots and turnips,2012,26000.0,227127.87,8735.7,27.66,1097.6
Carrots and turnips,2013,26000.0,227694.13,8757.5,27.78,1001.1
Carrots and turnips,2014,26515.0,232574.44,8771.3,27.66,1294.9
Carrots and turnips,2015,26631.0,233849.9,8781.2,27.69,1300.0
Carrots and turnips,2016,26817.0,235888.37,8796.2,27.91,1014.0
Carrots and turnips,2017,26809.0,236145.17,8808.3,28.03,1030.1
Carrots and turnips,2018,26902.0,237480.83,8827.5,27.76,1250.1
Carrots and turnips,2019,26811.0,237317.93,8851.7,27.83,1147.7
Carrots and turnips,2020,26684.0,237275.4,8891.9,27.92,1251.8
Carrots and turnips,2021,26510.0,236025.52,8903.3,28.01,1049.9
Carrots and turnips,2022,26505.0,236463.19,8921.5,28.17,1131.6
Carrots and turnips,2023,26500.0,236900.85,8939.7,28.05,1289.4
"Cashew nuts, in shell",1961,15000.0,7000.0,466.7,26.67,1107.1
"Cashew nuts, in shell",1962,24000.0,14000.0,583.3,26.46,1217.7
"Cashew nuts, in shell",1963,25000.0,15000.0,600.0,26.54,1040.0
"Cashew nuts, in shell",1964,31000.0,19000.0,612.9,26.7,1230.3
